ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,CODIGO_LOCALIDAD,LOCALIDAD,ANO SERVICIO,MES SERVICIO,ENERGIA ACTIVA,ENERGIA REACTIVA,POTENCIA MAXIMA,DEMANDA MAXIMA,PROMEDIO DIARIO EN HORAS
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR CIANAGA,2020,3,91439,3316531,1776,Martes,2336
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIAUAO NEGRO,2020,3,3463,17272,256,Sabado,547
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA,2020,3,961008,333479,162105,Lunes,24
99,VICHADA,99001,PUERTO CARREAO,99001000,PUERTO CARRENO,2020,3,2628844,84112248,46024,Miercoles,24
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO,2020,3,955709,31952144,180858,Martes,2358
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE,2020,3,49768,1716528,25819,Sabado,722
91,AMAZONAS,91540,PUERTO NARIAO,91540000,PUERTO NARIO,2020,3,106517,3776797,22229,Jueves,24
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN,2020,3,14852,683612,9162,Domingo,712
88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,88001000,ARCHIPIELAGO DE SAN ANDRES,2020,3,14988116,4356763,2842396,Viernes,24
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873001,SAN ANTONIO DE PADUA,2020,3,6090,171411,824,Jueves,457
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO DE NAYA,2020,3,7256,830548,3779,Domingo,719
19,CAUCA,19809,TIMBIQUI,19809007,SAN JOSE,2020,3,6597,406877,4445,Miercoles,548
13,BOLIVAR,13001,CARTAGENA,13001901,SANTA CRUZ DEL ISLOTE,2020,3,13572,480658,4384,Lunes,1335
19,CAUCA,19809,TIMBIQUI,19809008,SANTA MARIA,2020,3,5044,174408,759,Martes,235
99,VICHADA,99624,SANTA ROSALIA,99624000,SANTA ROSALIA,2020,3,152772,7659701,38414,Domingo,192
97,VAUPES,97666,TARAIRA,97666000,TARAIRA,2020,3,31036,101402,11669,Jueves,115
91,AMAZONAS,91798,TARAPACA,91798000,TARAPACA,2020,3,24212,938651,9279,Martes,1015
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873002,VEGAEZ VIGIA,2020,3,4553,62929,6134,Jueves,57
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873000,VIGAçA DEL FUERTE,2020,3,58679,2008151,32701,Jueves,78
19,CAUCA,19418,LOPEZ MICAY,19418019,ZARAGOZA LOPEZ,2020,3,8776,374362,5997,Domingo,7
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS,2020,4,36593,1268007,15963,Sabado,1018
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO,2020,4,10384,58557,969,Viernes,442
97,VAUPES,97161,CARURU,97161000,CARURA,2020,4,21995,758804,9064,Jueves,1217
99,VICHADA,99001,PUERTO CARREAO,99001002,CASUARITO,2020,4,24497,1389054,12514,Lunes,824
19,CAUCA,19809,TIMBIQUI,19809014,CHACAN,2020,4,2489,42486,2734,Miercoles,35
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE,2020,4,5447,157112,4221,Viernes,56
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE,2020,4,5830,32829,3448,Sabado,638
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO,2020,4,236561,10264166,550,Lunes,2029
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS,2020,4,10927,455014,3641,Sabado,179
94,GUAINIA,94001,INIRIDA,94001000,INARIDA,2020,4,1470572,50466702,274032,Jueves,24
19,CAUCA,19418,LOPEZ MICAY,19418038,ISLA DE GALLO,2020,4,3156,105374,2573,Martes,57
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE CARTAGENA,2020,4,12009,665097,11881,Lunes,414
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MACURA,2020,4,7814,334229,2366,Miercoles,1447
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA,2020,4,320306,16391223,66282,Lunes,2351
91,AMAZONAS,91001,LETICIA,91001000,LETICIA,2020,4,3205010,1024790,600086,Martes,24
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAÅN,2020,4,127291,5142841,26136,Jueves,2338
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES,2020,4,76385,267146,19272,Jueves,1842
97,VAUPES,97001,MITU,97001000,MITA,2020,4,1149093,34870751,259428,Martes,2359
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH URIBIA,2020,4,27348,1138313,24312,Jueves,518
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR CIANAGA,2020,4,81023,2800922,1696,Miercoles,234
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIAUAO NEGRO,2020,4,2734,13112,224,Domingo,58
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA,2020,4,920985,316309,15215,Martes,24
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753009,PUERTO BETANIA,2020,4,3885,159671,3756,Domingo,425
99,VICHADA,99001,PUERTO CARREAO,99001000,PUERTO CARRENO,2020,4,2204032,71264314,417208,Lunes,2359
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO,2020,4,833519,26729215,168001,Martes,24
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,PUERTO MERIZALDE,2020,4,42249,1292452,28794,Jueves,628
91,AMAZONAS,91540,PUERTO NARIAO,91540000,PUERTO NARIO,2020,4,93654,3282308,19906,Viernes,2357
19,CAUCA,19809,TIMBIQUI,19809023,PUERTO SAIJA,2020,4,20086,649471,15946,Sabado,447
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN,2020,4,12198,596816,7782,Sabado,642
88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,88001000,ARCHIPIELAGO DE SAN ANDRES,2020,4,11374994,3352613,1875309,Sabado,24
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873001,SAN ANTONIO DE PADUA,2020,4,5709,177639,4394,Sabado,529
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO DE NAYA,2020,4,5113,396004,3558,Sabado,557
19,CAUCA,19809,TIMBIQUI,19809007,SAN JOSE,2020,4,5811,345076,4613,Jueves,54
13,BOLIVAR,13001,CARTAGENA,13001901,SANTA CRUZ DEL ISLOTE,2020,4,10187,332112,4704,Jueves,912
19,CAUCA,19809,TIMBIQUI,19809008,SANTA MARIA,2020,4,9753,328358,7738,Miercoles,511
99,VICHADA,99624,SANTA ROSALIA,99624000,SANTA ROSALIA,2020,4,132805,695881,31733,Lunes,1959
97,VAUPES,97666,TARAIRA,97666000,TARAIRA,2020,4,21427,685555,12258,Jueves,757
91,AMAZONAS,91798,TARAPACA,91798000,TARAPACA,2020,4,21751,862744,873,Sabado,1015
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873002,VEGAEZ VIGIA,2020,4,4612,58845,4509,Martes,458
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873000,VIGAçA DEL FUERTE,2020,4,83515,3067126,30554,Viernes,1118
19,CAUCA,19418,LOPEZ MICAY,19418019,ZARAGOZA LOPEZ,2020,4,9102,38172,584,Sabado,729
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS,2020,5,36573,1160937,144,Miercoles,104
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO,2020,5,13855,799285,9312,Sabado,627
97,VAUPES,97161,CARURU,97161000,CARURA,2020,5,19310,626505,733,Sabado,127
99,VICHADA,99001,PUERTO CARREAO,99001002,CASUARITO,2020,5,25270,1447728,1232,Martes,852
19,CAUCA,19809,TIMBIQUI,19809014,CHACAN,2020,5,3194,51129,2477,Lunes,458
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE,2020,5,6822,199305,4186,Miercoles,629
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE,2020,5,6713,375559,3452,Viernes,718
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO,2020,5,238166,10361604,55616,Martes,2023
94,GUAINIA,94001,INIRIDA,94001000,INARIDA,2020,5,1420997,48807044,2706,Jueves,24
19,CAUCA,19418,LOPEZ MICAY,19418038,ISLA DE GALLO,2020,5,3648,119125,273,Miercoles,537
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE CARTAGENA,2020,5,12198,675656,12064,Martes,358
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MACURA,2020,5,7325,303169,2506,Lunes,1228
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA,2020,5,329807,1630792,67594,Martes,2329
91,AMAZONAS,91001,LETICIA,91001000,LETICIA,2020,5,3146244,1005565,582955,Lunes,24
19,CAUCA,19809,TIMBIQUI,19809026,LOS BRAZOS,2020,5,246,3665,1538,Domingo,36
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAÅN,2020,5,134889,5545518,2618,Lunes,235
95,GUAVIARE,95200,MIRAFLORES,95200000,MIRAFLORES,2020,5,77588,26796,18612,Viernes,1857
97,VAUPES,97001,MITU,97001000,MITA,2020,5,1205135,36393307,265832,Martes,24
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH URIBIA,2020,5,27489,1159257,24024,Martes,536
19,CAUCA,19418,LOPEZ MICAY,19418009,NOANAMITO LAPEZ,2020,5,2151,835,36,Domingo,39
47,MAGDALENA,47189,CIENAGA,47189018,PALMOR CIANAGA,2020,5,51375,1951501,15987,Sabado,1517
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573009,PIAUAO NEGRO,2020,5,2729,13216,224,Domingo,57
88,ARCHIPIELAGO DE SAN ANDRES,88564,PROVIDENCIA,88564000,PROVIDENCIA,2020,5,989193,332232,158336,Martes,24
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753009,PUERTO BETANIA,2020,5,4388,176262,412,Sabado,456
99,VICHADA,99001,PUERTO CARREAO,99001000,PUERTO CARRENO,2020,5,2258153,74023268,427416,Martes,24
86,PUTUMAYO,86573,PUERTO LEGUIZAMO,86573000,PUERTO LEGUIZAMO,2020,5,39430,27197912,25978,Jueves,62
91,AMAZONAS,91540,PUERTO NARIAO,91540000,PUERTO NARIO,2020,5,87291,2994336,1973,Lunes,2359
19,CAUCA,19809,TIMBIQUI,19809023,PUERTO SAIJA,2020,5,26670,902462,18709,Miercoles,622
18,CAQUETA,18150,CARTAGENA DEL CHAIRA,18150001,REMOLINO DEL CAGUAN,2020,5,14773,747342,7474,Jueves,821
88,ARCHIPIELAGO DE SAN ANDRES,88001,SAN ANDRES,88001000,ARCHIPIELAGO DE SAN ANDRES,2020,5,12120172,3487078,2009152,Martes,24
19,CAUCA,19418,LOPEZ MICAY,19418012,SAN ANTONIO DE CHUARE,2020,5,5496,0,4224,Sabado,526
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,SAN FRANCISCO DE NAYA,2020,5,5744,343891,3206,Sabado,718
19,CAUCA,19809,TIMBIQUI,19809007,SAN JOSE,2020,5,6603,411652,4442,Miercoles,532
19,CAUCA,19809,TIMBIQUI,19809008,SANTA MARIA,2020,5,12512,455534,8006,Martes,629
97,VAUPES,97666,TARAIRA,97666000,TARAIRA,2020,5,25837,813936,10877,Viernes,94
91,AMAZONAS,91798,TARAPACA,91798000,TARAPACA,2020,5,21590,869906,8314,Viernes,1015
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873002,VEGAEZ VIGIA,2020,5,6290,84626,5523,Lunes,627
5,ANTIOQUIA,5873,VIGIA DEL FUERTE,5873000,VIGAçA DEL FUERTE,2020,5,89878,3295934,30413,Lunes,1134
19,CAUCA,19418,LOPEZ MICAY,19418019,ZARAGOZA LOPEZ,2020,5,8990,38024,5539,Domingo,711
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS,2020,6,37614,1358931,16062,Viernes,938
85,CASANARE,85430,TRINIDAD,85430001,BOCAS DEL PAUTO,2020,6,9236,52116,8742,Lunes,441
97,VAUPES,97161,CARURU,97161000,CARURA,2020,6,19281,59255,7392,Martes,129
99,VICHADA,99001,PUERTO CARREAO,99001002,CASUARITO,2020,6,22685,1333939,1107,Jueves,841
19,CAUCA,19809,TIMBIQUI,19809014,CHACAN,2020,6,3453,61488,2531,Jueves,529
19,CAUCA,19809,TIMBIQUI,19809010,COMUNIDAD DE CHETE,2020,6,6797,202856,4064,Domingo,78
19,CAUCA,19809,TIMBIQUI,19809003,COTEJE,2020,6,6029,34858,3316,Martes,659
99,VICHADA,99773,CUMARIBO,99773000,CUMARIBO,2020,6,227599,10066518,5192,Viernes,2024
18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,18753002,GUACAMAYAS,2020,6,2236,84554,366,Sabado,336
94,GUAINIA,94001,INIRIDA,94001000,INARIDA,2020,6,1358799,46821126,260832,Miercoles,24
19,CAUCA,19418,LOPEZ MICAY,19418038,ISLA DE GALLO,2020,6,3463,119142,2496,Viernes,549
13,BOLIVAR,13001,CARTAGENA,13001007,ISLA FUERTE CARTAGENA,2020,6,12267,686292,12072,Martes,47
13,BOLIVAR,13001,CARTAGENA,13001037,ISLA MACURA,2020,6,7210,294941,2314,Domingo,1257
99,VICHADA,99524,LA PRIMAVERA,99524000,LA PRIMAVERA,2020,6,307214,15206248,63487,Miercoles,2344
